,GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term
1,GO:0042572,0.000858098,19.31318681,0.193263158,3,17,retinol metabolic process
2,GO:1903317,0.001293126,6.850942655,0.818526316,5,72,regulation of protein maturation
3,GO:0006959,0.001298847,5.499405941,1.216421053,6,107,humoral immune response
4,GO:0007189,0.001403652,15.89819005,0.227368421,3,20,adenylate cyclase-activating G protein-coupled receptor signaling pathway
5,GO:0006910,0.004363788,25.45027125,0.102315789,2,9,"phagocytosis, recognition"
6,GO:0030277,0.004363788,25.45027125,0.102315789,2,9,maintenance of gastrointestinal epithelium
7,GO:0002700,0.004665011,6.482374768,0.682105263,4,60,regulation of production of molecular mediator of immune response
8,GO:0006958,0.005059146,9.637362637,0.352421053,3,31,"complement activation, classical pathway"
9,GO:0050871,0.006041597,8.992307692,0.375157895,3,33,positive regulation of B cell activation
10,GO:0072376,0.006550099,5.850020947,0.750315789,4,66,protein activation cascade
11,GO:0016064,0.007658152,5.577622378,0.784421053,4,69,immunoglobulin mediated immune response
12,GO:0007187,0.007715842,8.171328671,0.409263158,3,36,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"
13,GO:0007586,0.008328731,7.929864253,0.420631579,3,37,digestion
14,GO:0000184,0.008401285,4.306107249,1.261894737,5,111,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
15,GO:0030198,0.008911611,3.237027027,2.353263158,7,207,extracellular matrix organization
16,GO:0006413,0.01003782,3.532307692,1.841684211,6,162,translational initiation
17,GO:0030449,0.010335781,7.283783784,0.454736842,3,40,regulation of complement activation
18,GO:0001971,0.011368421,Inf,0.011368421,1,1,negative regulation of activation of membrane attack complex
19,GO:0002249,0.011368421,Inf,0.011368421,1,1,lymphocyte anergy
20,GO:0002642,0.011368421,Inf,0.011368421,1,1,positive regulation of immunoglobulin biosynthetic process
21,GO:0002667,0.011368421,Inf,0.011368421,1,1,regulation of T cell anergy
22,GO:0010482,0.011368421,Inf,0.011368421,1,1,regulation of epidermal cell division
23,GO:0010585,0.011368421,Inf,0.011368421,1,1,glutamine secretion
24,GO:0015724,0.011368421,Inf,0.011368421,1,1,formate transport
25,GO:0015797,0.011368421,Inf,0.011368421,1,1,mannitol transport
26,GO:0035759,0.011368421,Inf,0.011368421,1,1,mesangial cell-matrix adhesion
27,GO:0042774,0.011368421,Inf,0.011368421,1,1,plasma membrane ATP synthesis coupled electron transport
28,GO:0048807,0.011368421,Inf,0.011368421,1,1,female genitalia morphogenesis
