,GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term
,GO:1901362,0.000191812,0.317684766,22.71410526,9,1998,organic cyclic compound biosynthetic process
1,GO:0051252,0.00027694,0.273747646,18.17810526,6,1599,regulation of RNA metabolic process
2,GO:0045934,0.000316137,0,7.628210526,0,671,negative regulation of nucleobase-containing compound metabolic process
3,GO:0018130,0.000372118,0.333355023,21.94105263,9,1930,heterocycle biosynthetic process
4,GO:0019438,0.000382965,0.33407195,21.90694737,9,1927,aromatic compound biosynthetic process
5,GO:0034654,0.000538809,0.342853348,21.49768421,9,1891,nucleobase-containing compound biosynthetic process
6,GO:0051253,0.000752129,0,6.843789474,0,602,negative regulation of RNA metabolic process
7,GO:0019219,0.001458257,0.371615905,20.25852632,9,1782,regulation of nucleobase-containing compound metabolic process
8,GO:1902679,0.001547443,0,6.184421053,0,544,negative regulation of RNA biosynthetic process
9,GO:1903507,0.001566724,0,6.173052632,0,543,negative regulation of nucleic acid-templated transcription
10,GO:2001141,0.001587305,0.318528996,16.14315789,6,1420,regulation of RNA biosynthetic process
11,GO:1903506,0.001617204,0.319093484,16.12042105,6,1418,regulation of nucleic acid-templated transcription
12,GO:1901360,0.001725505,0.481289789,35.208,22,3097,organic cyclic compound metabolic process
13,GO:0051276,0.002033816,0.112393617,8.026105263,1,706,chromosome organization
14,GO:0045892,0.002056338,0,5.922947368,0,521,"negative regulation of transcription, DNA-templated"
15,GO:0006355,0.002255331,0.329534884,15.71115789,6,1382,"regulation of transcription, DNA-templated"
16,GO:0006357,0.002494547,0.237146882,11.20926316,3,986,regulation of transcription by RNA polymerase II
17,GO:0010558,0.002754386,0.117367257,7.719157895,1,679,negative regulation of macromolecule biosynthetic process
18,GO:0006996,0.003295009,0.457054096,25.28336842,14,2224,organelle organization
19,GO:0006366,0.003354206,0.285307319,12.38021053,4,1089,transcription by RNA polymerase II
20,GO:0006725,0.003593889,0.508224404,34.13936842,22,3003,cellular aromatic compound metabolic process
21,GO:2000113,0.003975894,0.124011628,7.344,1,646,negative regulation of cellular macromolecule biosynthetic process
22,GO:0046483,0.004113085,0.513577055,33.93473684,22,2985,heterocycle metabolic process
23,GO:0032774,0.004562228,0.395610701,17.46189474,8,1536,RNA biosynthetic process
24,GO:0097659,0.004796361,0.39760229,17.39368421,8,1530,nucleic acid-templated transcription
25,GO:0006351,0.006043352,0.407107884,17.07536842,8,1502,"transcription, DNA-templated"
26,GO:0022402,0.006358175,0.212139089,8.560421053,2,753,cell cycle process
27,GO:0006139,0.006739266,0.534398876,33.16168421,22,2917,nucleobase-containing compound metabolic process
28,GO:0030030,0.00793493,0.2193051,8.310315789,2,731,cell projection organization
29,GO:0007049,0.008088761,0.317670209,11.30021053,4,994,cell cycle
30,GO:0009890,0.008681817,0.222362869,8.208,2,722,negative regulation of biosynthetic process
31,GO:0120036,0.008945301,0.223399184,8.173894737,2,719,plasma membrane bounded cell projection organization
