"","Gene","pVal","Normally distributed"
"1","SLC1A5","6.63143708541381e-07","FALSE"
"2","KRT5","5.31838146062776e-06","FALSE"
"3","NFYA","1.3313333684137e-06","FALSE"
"4","ADGRG1","0.00131804207110522","FALSE"
"5","CAPS","0.0555227928548124","FALSE"
"6","SFN","2.66790786383418e-07","FALSE"
"7","DKK4","4.54424110531409e-06","FALSE"
"8","TTYH3","0.403261991748324","TRUE"
"9","TPM3","0.00359806299284251","FALSE"
"10","HAPLN3","5.47787777680484e-07","FALSE"
"11","CFAP97","0.00575382335086886","FALSE"
"12","RHBDD2","5.83887011031166e-06","FALSE"
"13","LAMC3","0.0126085367845698","FALSE"
"14","CTIF","0.00038024264965361","FALSE"
"15","FADS2","0.21356077585568","TRUE"
"16","DNAJB14","0.000962372543082844","FALSE"
"17","TSR2","0.319499262073972","TRUE"
"18","LAD1","0.367668950845644","TRUE"
"19","MELTF","0.065396348449399","FALSE"
"20","MRPL51","0.058077354589811","FALSE"
"21","SYNPO2","3.70241030692155e-05","FALSE"
"22","FAM20B","0.0528315757361659","FALSE"
"23","TRIM26","0.0266900376598046","FALSE"
"24","KANK4","1.67889160912913e-06","FALSE"
"25","TUBA1B","0.308817854576057","TRUE"
"26","COA6","0.000499630740110691","FALSE"
"27","SLC26A6","0.244549225740984","TRUE"
"28","TFF3","0.294602203597612","TRUE"
"29","ADGRE5","0.00914551445557133","FALSE"
"30","STARD7","0.448047774610902","TRUE"
"31","PLPP2","0.238051262443572","TRUE"
"32","MMP7","0.0608318603081626","FALSE"
"33","MFAP4","0.0308797713150699","FALSE"
"34","KCTD12","0.00158904024518539","FALSE"
"35","CD34","0.0136523656176892","FALSE"
"36","PAGE4","0.0830434391834477","FALSE"
"37","GMFG","0.0657050978120948","FALSE"
"38","MZB1","0.0885008901408652","FALSE"
"39","UBE2Z","0.000236826873992712","FALSE"
"40","RPS16","7.05248945448549e-05","FALSE"
"41","TGFBI","0.641406859626857","TRUE"
"42","CALB2","0.0335989348540978","FALSE"
"43","BAG2","0.490289344503461","TRUE"
"44","TAB3","0.145595248781007","TRUE"
"45","STX10","0.0479658311366896","FALSE"
"46","FKBP11","0.179716193238584","TRUE"
"47","IGLL5","0.477535411179092","TRUE"
"48","RPS9","0.720325082285818","TRUE"
"49","RBP4","0.0021484356058647","FALSE"
"50","WDR73","0.356271148728023","TRUE"
"51","RPL35","0.0890099533154027","FALSE"
"52","RNASE2","5.46487526826286e-07","FALSE"
"53","MSL1","0.118372883415844","TRUE"
"54","ALDH1A1","0.0485274449843092","FALSE"
"55","TTR","0.00357955630503503","FALSE"
"56","SEC11C","0.25602829511485","TRUE"
"57","PLAC9","0.0497495294860623","FALSE"
"58","MRPL13","4.33818590123898e-08","FALSE"
"59","VCAN","0.032232682107078","FALSE"
"60","RPL30","0.0725734485027126","FALSE"
"61","ILK","6.01187651366334e-08","FALSE"
"62","HPGD","5.74845318306345e-06","FALSE"
"63","C7","7.90938141411743e-06","FALSE"
"64","USP1","0.285278281624774","TRUE"
"65","KIAA2013","0.354391228953085","TRUE"
"66","SOD3","0.0117061785288531","FALSE"
"67","OLFML3","2.82849131312217e-05","FALSE"
"68","TRIM68","0.0382219733681349","FALSE"
"69","PCBD1","0.00237902267933215","FALSE"
"70","POLRMT","8.21215055459808e-05","FALSE"
"71","ENTPD5","0.000120699583199565","FALSE"
"72","ARRDC1","0.0737894161929539","FALSE"
"73","LSM5","0.000144650142922702","FALSE"
"74","VCL","3.87805875796682e-06","FALSE"
"75","THBS4","3.14209737408555e-06","FALSE"
"76","PRKCSH","5.53707354602043e-05","FALSE"
"77","CLC","0.0295514917248736","FALSE"
"78","CD59","0.0433837014017339","FALSE"
